"DO","time","day"
6.06,00:02:01,1
6.07,00:07:01,1
6.07,00:12:01,1
6.06,00:17:01,1
6.07,00:22:01,1
6.06,00:27:01,1
6.07,00:32:01,1
6.06,00:37:01,1
6.06,00:42:01,1
6.05,00:47:01,1
6.07,00:52:01,1
6.06,00:57:01,1
6.05,01:02:01,1
6.05,01:07:01,1
6.04,01:12:01,1
6.03,01:17:01,1
6.02,01:22:01,1
6.01,01:27:01,1
6.02,01:32:01,1
6.02,01:37:01,1
6,01:42:01,1
6,01:47:01,1
5.99,01:52:01,1
6,01:57:01,1
5.99,02:02:01,1
6.01,02:07:01,1
6.03,02:12:01,1
6,02:17:01,1
6,02:22:01,1
6,02:27:01,1
5.99,02:32:01,1
5.95,02:37:01,1
5.94,02:42:11,1
5.96,02:47:01,1
5.95,02:52:01,1
5.92,02:57:11,1
5.93,03:02:01,1
5.94,03:07:01,1
5.96,03:12:01,1
5.95,03:17:01,1
5.93,03:22:01,1
5.94,03:27:01,1
5.93,03:32:01,1
5.94,03:37:01,1
5.94,03:42:01,1
5.93,03:47:01,1
5.92,03:52:01,1
5.92,03:57:01,1
5.9,04:02:01,1
5.9,04:07:01,1
5.9,04:12:01,1
5.9,04:17:01,1
5.89,04:22:01,1
5.88,04:27:01,1
5.89,04:32:01,1
5.88,04:37:01,1
5.88,04:42:01,1
5.87,04:47:01,1
5.88,04:52:01,1
5.85,04:57:01,1
5.86,05:02:01,1
5.86,05:07:01,1
5.86,05:12:01,1
5.87,05:17:01,1
5.86,05:22:01,1
5.87,05:27:01,1
5.88,05:32:01,1
5.86,05:37:01,1
5.84,05:42:11,1
5.85,05:47:01,1
5.84,05:52:01,1
5.81,05:57:01,1
5.79,06:02:01,1
5.8,06:07:01,1
5.78,06:12:01,1
5.76,06:17:01,1
5.76,06:22:01,1
5.76,06:27:01,1
5.75,06:32:01,1
5.71,06:37:11,1
5.71,06:42:01,1
5.71,06:47:01,1
5.69,06:52:01,1
