"chla","time","day"
1.07,00:02:01,1
0.96,00:07:01,1
0.98,00:12:01,1
1.46,00:17:01,1
0.99,00:22:01,1
1.06,00:27:01,1
1.43,00:32:01,1
1.1,00:37:01,1
2.61,00:42:01,1
1.16,00:47:01,1
1.08,00:52:01,1
1,00:57:01,1
0.9,01:02:01,1
1.29,01:07:01,1
0.92,01:27:01,1
0.86,01:37:01,1
1.73,01:42:01,1
0.91,01:47:01,1
0.96,01:52:01,1
1.64,01:57:01,1
0.91,02:02:01,1
0.8,02:07:01,1
1.32,02:12:01,1
0.95,02:17:01,1
0.95,02:22:01,1
1.22,02:27:01,1
0.97,02:32:01,1
0.91,02:37:01,1
0.99,02:42:11,1
1.05,02:47:01,1
0.91,02:52:01,1
1.03,02:57:11,1
1.03,03:02:01,1
1.12,03:17:01,1
0.78,03:22:01,1
1.37,03:27:01,1
0.66,03:32:01,1
0.78,03:37:01,1
0.89,03:42:01,1
1.18,03:47:01,1
0.85,03:52:01,1
0.82,03:57:01,1
0.86,04:02:01,1
0.99,04:07:01,1
1.04,04:12:01,1
0.86,04:17:01,1
0.79,04:22:01,1
0.97,04:27:01,1
0.89,04:32:01,1
0.8,04:37:01,1
2.08,04:42:01,1
1,04:47:01,1
0.67,04:52:01,1
0.65,04:57:01,1
0.91,05:02:01,1
0.62,05:07:01,1
1.12,05:12:01,1
0.82,05:17:01,1
0.86,05:22:01,1
0.78,05:27:01,1
1.13,05:32:01,1
0.68,05:37:01,1
0.57,05:42:11,1
0.7,05:47:01,1
0.89,05:52:01,1
0.71,06:02:01,1
1.73,06:07:01,1
0.63,06:12:01,1
0.74,06:17:01,1
0.77,06:22:01,1
0.68,06:27:01,1
0.95,06:32:01,1
0.74,06:37:11,1
0.93,06:42:01,1
0.54,06:47:01,1
0.7,06:52:01,1
0.69,06:57:01,1
1.03,07:02:01,1
0.85,07:07:01,1
0.79,07:12:01,1
1.81,07:17:01,1
2.32,07:22:01,1
0.75,07:27:01,1
0.88,07:32:01,1
0.61,07:37:01,1
1.37,07:42:01,1
1.27,07:47:01,1
1,07:52:01,1
0.79,07:57:01,1
0.86,08:02:01,1
0.64,08:07:01,1
0.81,08:12:01,1
0.89,08:17:01,1
0.88,08:22:01,1
0.78,08:27:01,1
0.92,08:32:01,1
0.66,08:37:01,1
0.69,08:42:01,1
0.69,08:47:01,1
0.66,08:52:01,1
0.85,08:57:01,1
0.64,09:02:01,1
0.55,09:07:01,1
1.04,09:12:01,1
0.66,09:17:01,1
0.66,09:22:01,1
0.95,09:27:01,1
0.59,09:32:01,1
0.65,09:37:01,1
1.14,09:42:01,1
0.81,09:52:01,1
0.54,09:57:01,1
1.05,10:02:01,1
0.88,10:07:11,1
0.76,10:12:01,1
0.75,10:17:11,1
1.55,10:22:01,1
0.8,10:27:01,1
1.25,10:32:01,1
1.9,10:37:01,1
0.58,10:42:01,1
0.85,10:47:01,1
1.12,10:52:01,1
0.79,10:57:11,1
1.86,11:02:01,1
1.36,11:07:01,1
0.88,11:12:01,1
0.52,11:17:01,1
0.74,11:32:11,1
0.78,11:37:01,1
1.04,11:42:01,1
0.65,11:47:01,1
0.98,11:52:01,1
0.87,11:57:01,1
0.81,12:02:01,1
2.12,12:07:01,1
0.94,12:12:01,1
0.59,12:17:11,1
0.96,12:22:01,1
0.83,12:27:01,1
0.58,12:32:01,1
0.54,12:37:01,1
1.13,12:42:01,1
0.42,12:47:01,1
0.52,12:52:01,1
0.47,12:57:01,1
0.71,13:02:01,1
0.65,13:07:01,1
0.62,13:12:11,1
0.69,13:17:02,1
0.61,13:22:01,1
0.71,13:27:01,1
0.71,13:32:01,1
0.57,13:37:11,1
0.62,13:42:01,1
1.33,13:47:01,1
0.64,13:52:01,1
0.44,13:57:01,1
0.35,14:12:01,1
0.66,14:17:11,1
1.52,14:22:01,1
0.52,14:27:01,1
0.57,14:32:11,1
0.53,14:37:11,1
0.72,14:42:01,1
0.6,14:47:01,1
0.39,14:52:01,1
0.66,14:57:01,1
0.9,15:02:01,1
0.45,15:07:01,1
0.53,15:12:01,1
0.5,15:17:01,1
0.67,15:22:01,1
0.38,15:27:01,1
0.57,15:32:11,1
0.64,15:37:01,1
0.44,15:42:01,1
0.54,15:47:11,1
1.01,15:52:01,1
1.14,15:57:01,1
0.41,16:02:01,1
0.43,16:07:01,1
0.63,16:12:01,1
0.96,16:17:01,1
0.82,16:22:01,1
0.61,16:27:01,1
0.6,16:32:01,1
0.58,16:37:01,1
0.58,16:42:01,1
1.36,16:47:01,1
0.8,16:52:01,1
0.5,16:57:01,1
0.68,17:02:01,1
0.58,17:07:01,1
0.84,17:12:01,1
