"nitrate","time","day"
2.7,NA,1
2.7,00:15:00,1
2.7,00:30:00,1
2.7,00:45:00,1
2.7,01:00:00,1
2.7,01:15:00,1
2.7,01:30:00,1
2.7,01:45:00,1
2.7,02:00:00,1
2.8,02:15:00,1
2.7,02:30:00,1
2.8,02:45:00,1
2.7,03:00:00,1
2.7,03:15:00,1
2.7,03:30:00,1
2.7,03:45:00,1
2.7,04:00:00,1
2.7,04:15:00,1
2.7,04:30:00,1
2.7,04:45:00,1
2.8,05:00:00,1
2.7,05:15:00,1
2.7,05:30:00,1
2.7,05:45:00,1
2.8,06:00:00,1
2.8,06:30:00,1
2.7,06:45:00,1
2.7,07:00:00,1
2.7,07:15:00,1
2.8,07:30:00,1
2.8,07:45:00,1
2.7,08:00:00,1
2.7,08:15:00,1
2.8,08:30:00,1
2.7,08:45:00,1
2.7,09:00:00,1
2.7,09:15:00,1
2.8,09:30:00,1
2.8,09:45:00,1
2.8,10:00:00,1
2.7,10:15:00,1
2.8,10:30:00,1
2.9,11:00:00,1
2.7,11:15:00,1
2.8,11:30:00,1
2.8,11:45:00,1
2.8,12:00:00,1
2.7,12:15:00,1
2.7,12:30:00,1
2.7,12:45:00,1
2.7,13:00:00,1
2.7,13:15:00,1
2.7,13:30:00,1
2.7,13:45:00,1
2.8,14:30:00,1
2.7,14:45:00,1
2.8,15:00:00,1
2.8,15:15:00,1
2.7,15:30:00,1
2.7,15:45:00,1
2.8,16:00:00,1
2.8,16:15:00,1
2.7,16:30:00,1
2.8,16:45:00,1
2.8,17:00:00,1
2.7,17:15:00,1
2.8,17:30:00,1
2.8,17:45:00,1
2.8,18:00:00,1
2.8,18:15:00,1
2.8,18:30:00,1
2.7,18:45:00,1
2.8,19:00:00,1
2.8,19:15:00,1
2.8,20:00:00,1
2.7,20:15:00,1
2.8,20:30:00,1
2.8,20:45:00,1
2.8,21:00:00,1
2.8,21:15:00,1
2.8,21:30:00,1
2.7,21:45:00,1
2.8,22:00:00,1
2.8,22:15:00,1
2.8,22:30:00,1
2.8,22:45:00,1
2.7,23:00:00,1
2.8,23:15:00,1
2.8,23:30:00,1
2.8,23:45:00,1
2.8,NA,2
2.8,00:15:00,2
2.8,00:30:00,2
2.8,00:45:00,2
2.8,01:00:00,2
2.8,01:15:00,2
2.8,01:30:00,2
2.8,01:45:00,2
2.8,02:00:00,2
2.8,02:15:00,2
2.8,02:30:00,2
2.8,02:45:00,2
2.8,03:00:00,2
2.8,03:15:00,2
2.8,03:30:00,2
2.8,03:45:00,2
2.8,04:00:00,2
2.8,04:15:00,2
2.8,04:45:00,2
2.8,05:00:00,2
2.8,05:15:00,2
2.8,05:30:00,2
2.8,05:45:00,2
2.8,06:00:00,2
2.8,06:15:00,2
2.8,06:30:00,2
2.8,06:45:00,2
2.8,07:00:00,2
2.8,07:15:00,2
2.8,07:30:00,2
2.8,07:45:00,2
2.9,08:00:00,2
2.8,08:15:00,2
2.9,08:30:00,2
2.8,08:45:00,2
2.9,09:00:00,2
2.9,09:15:00,2
2.8,09:30:00,2
2.8,09:45:00,2
2.8,10:00:00,2
2.8,10:15:00,2
2.8,10:30:00,2
2.8,10:45:00,2
2.9,11:00:00,2
3.4,11:15:00,2
2.8,11:30:00,2
2.9,11:45:00,2
2.9,12:00:00,2
2.9,12:15:00,2
2.8,12:30:00,2
2.8,12:45:00,2
2.8,13:00:00,2
2.8,13:15:00,2
2.8,13:30:00,2
2.8,13:45:00,2
2.8,14:00:00,2
2.8,14:15:00,2
2.8,14:30:00,2
2.8,14:45:00,2
2.8,15:00:00,2
2.8,15:15:00,2
2.9,15:30:00,2
2.9,15:45:00,2
2.8,16:00:00,2
2.9,16:15:00,2
2.8,16:30:00,2
2.8,16:45:00,2
2.9,17:00:00,2
2.8,17:15:00,2
2.9,17:30:00,2
2.9,17:45:00,2
2.8,18:00:00,2
2.8,18:15:00,2
2.8,18:30:00,2
2.8,18:45:00,2
2.8,19:00:00,2
2.9,19:15:00,2
2.8,19:30:00,2
2.9,19:45:00,2
2.9,20:00:00,2
2.9,20:15:00,2
2.8,20:30:00,2
2.8,20:45:00,2
2.8,21:00:00,2
2.9,21:15:00,2
2.9,21:30:00,2
2.8,21:45:00,2
2.9,22:00:00,2
2.8,22:15:00,2
2.8,22:30:00,2
2.9,22:45:00,2
2.9,23:00:00,2
2.9,23:15:00,2
2.9,23:30:00,2
2.9,23:45:00,2
2.8,NA,3
2.9,00:15:00,3
2.9,00:30:00,3
2.8,00:45:00,3
2.8,01:00:00,3
2.9,01:15:00,3
2.9,01:30:00,3
2.9,01:45:00,3
2.8,02:00:00,3
2.9,02:15:00,3
2.9,02:30:00,3
2.9,02:45:00,3
2.9,03:00:00,3
2.9,03:15:00,3
2.8,03:30:00,3
2.9,03:45:00,3
2.9,04:00:00,3
2.9,04:15:00,3
2.8,04:30:00,3
2.9,04:45:00,3
2.9,05:00:00,3
2.9,05:15:00,3
2.9,05:30:00,3
2.9,05:45:00,3
2.9,06:00:00,3
2.9,06:15:00,3
2.9,06:30:00,3
2.9,06:45:00,3
2.9,07:00:00,3
2.9,07:15:00,3
2.9,07:30:00,3
2.9,07:45:00,3
2.9,08:00:00,3
2.9,08:15:00,3
2.9,08:30:00,3
2.9,08:45:00,3
2.9,09:00:00,3
2.9,09:15:00,3
2.9,09:30:00,3
2.9,09:45:00,3
2.9,10:00:00,3
2.9,10:15:00,3
2.9,10:30:00,3
2.9,10:45:00,3
2.9,11:00:00,3
3,11:15:00,3
2.9,11:30:00,3
2.9,11:45:00,3
2.9,12:00:00,3
2.9,12:15:00,3
2.9,12:30:00,3
2.9,12:45:00,3
2.9,13:00:00,3
2.9,13:15:00,3
2.9,13:30:00,3
2.9,13:45:00,3
2.9,14:00:00,3
2.9,14:15:00,3
2.9,14:30:00,3
2.9,14:45:00,3
2.9,15:00:00,3
2.9,15:15:00,3
2.8,15:30:00,3
2.9,15:45:00,3
2.9,16:00:00,3
2.9,16:15:00,3
2.9,16:30:00,3
2.9,16:45:00,3
2.9,17:00:00,3
2.9,17:15:00,3
2.9,17:30:00,3
2.9,17:45:00,3
2.9,18:00:00,3
2.9,18:15:00,3
2.9,18:30:00,3
2.9,18:45:00,3
2.9,19:00:00,3
2.9,19:15:00,3
2.9,19:30:00,3
2.9,19:45:00,3
2.9,20:00:00,3
2.9,20:15:00,3
2.9,20:30:00,3
3,20:45:00,3
2.9,21:00:00,3
2.9,21:15:00,3
2.9,21:30:00,3
3,21:45:00,3
2.9,22:00:00,3
2.9,22:15:00,3
2.9,22:30:00,3
2.9,22:45:00,3
2.9,23:00:00,3
2.9,23:15:00,3
2.9,23:30:00,3
2.9,23:45:00,3
2.9,NA,4
2.9,00:15:00,4
2.9,00:30:00,4
2.9,00:45:00,4
2.9,01:00:00,4
2.9,01:15:00,4
2.9,01:30:00,4
3,01:45:00,4
2.9,02:00:00,4
2.9,02:15:00,4
3,02:30:00,4
2.9,02:45:00,4
2.9,03:00:00,4
2.9,03:15:00,4
3,03:30:00,4
2.9,03:45:00,4
2.9,04:00:00,4
3,04:15:00,4
2.9,04:30:00,4
2.9,05:15:00,4
3,05:30:00,4
2.9,05:45:00,4
3,06:00:00,4
2.9,06:15:00,4
3,06:30:00,4
2.9,06:45:00,4
3,07:00:00,4
3,07:15:00,4
2.9,07:30:00,4
2.9,07:45:00,4
3,08:00:00,4
2.9,08:15:00,4
3,08:30:00,4
3,08:45:00,4
2.9,09:00:00,4
2.9,09:15:00,4
3,09:30:00,4
2.9,09:45:00,4
3,10:00:00,4
3,10:15:00,4
2.9,10:30:00,4
3,10:45:00,4
2.9,11:00:00,4
2.9,11:15:00,4
2.9,11:30:00,4
3,11:45:00,4
2.9,12:00:00,4
2.9,12:15:00,4
2.9,12:30:00,4
2.9,12:45:00,4
2.9,13:00:00,4
2.9,13:15:00,4
3,13:30:00,4
2.9,13:45:00,4
2.9,14:00:00,4
3,14:15:00,4
3,14:30:00,4
2.9,14:45:00,4
2.9,15:00:00,4
3,15:15:00,4
3,15:30:00,4
3,15:45:00,4
2.9,16:00:00,4
2.9,16:15:00,4
2.9,16:30:00,4
