"datetime","wtemp"
2019-09-01 08:00:00,30.37
2019-09-01 09:00:00,30.405
2019-09-01 10:00:00,30.46
2019-09-01 11:00:00,30.465
2019-09-01 12:00:00,30.595
2019-09-01 13:00:00,30.585
2019-09-01 14:00:00,30.645
2019-09-01 15:00:00,30.6
2019-09-01 16:00:00,30.585
2019-09-01 17:00:00,30.58
2019-09-01 18:00:00,30.6
2019-09-01 19:00:00,30.555
2019-09-02 08:00:00,30.16
2019-09-02 09:00:00,30.175
2019-09-02 10:00:00,30.26
2019-09-02 11:00:00,30.32
2019-09-02 12:00:00,30.45
2019-09-02 13:00:00,30.56
2019-09-02 14:00:00,30.74
2019-09-02 15:00:00,30.895
2019-09-02 16:00:00,30.885
2019-09-02 17:00:00,30.89
2019-09-02 18:00:00,30.84
2019-09-02 19:00:00,30.795
2019-09-03 08:00:00,30.06
2019-09-03 09:00:00,30.095
2019-09-03 10:00:00,30.135
2019-09-03 11:00:00,30.215
2019-09-03 12:00:00,30.31
2019-09-03 13:00:00,30.315
2019-09-03 14:00:00,30.36
2019-09-03 15:00:00,30.51
2019-09-03 16:00:00,30.53
2019-09-03 17:00:00,30.51
2019-09-03 18:00:00,30.455
2019-09-03 19:00:00,30.38
2019-09-04 08:00:00,29.77
2019-09-04 09:00:00,29.75
2019-09-04 10:00:00,29.72
2019-09-04 11:00:00,29.71
2019-09-04 12:00:00,29.72
2019-09-04 13:00:00,29.715
2019-09-04 14:00:00,29.685
2019-09-04 16:00:00,29.66
2019-09-04 17:00:00,29.645
2019-09-04 18:00:00,29.605
2019-09-04 19:00:00,29.595
2019-09-05 08:00:00,29.23
2019-09-05 09:00:00,29.225
2019-09-05 10:00:00,29.3
2019-09-05 11:00:00,29.425
2019-09-05 12:00:00,29.55
2019-09-05 13:00:00,29.675
2019-09-05 14:00:00,29.865
2019-09-05 15:00:00,29.98
2019-09-05 16:00:00,30.13
2019-09-05 17:00:00,30.17
2019-09-05 18:00:00,30.175
2019-09-05 19:00:00,30.15
2019-09-06 08:00:00,29.42
2019-09-06 09:00:00,29.455
2019-09-06 10:00:00,29.595
2019-09-06 11:00:00,29.795
2019-09-06 12:00:00,29.995
2019-09-06 13:00:00,30.19
2019-09-06 14:00:00,30.34
2019-09-06 15:00:00,30.49
2019-09-06 16:00:00,30.69
2019-09-06 17:00:00,30.785
2019-09-06 18:00:00,30.82
2019-09-06 19:00:00,30.825
2019-09-07 08:00:00,29.615
2019-09-07 09:00:00,29.655
2019-09-07 10:00:00,29.805
2019-09-07 11:00:00,29.87
2019-09-07 12:00:00,30.075
2019-09-07 13:00:00,30.22
2019-09-07 14:00:00,30.6
2019-09-07 16:00:00,30.53
2019-09-07 19:00:00,31.05
2019-09-08 08:00:00,29.91
2019-09-08 09:00:00,29.95
2019-09-08 10:00:00,30.04
2019-09-08 11:00:00,30.125
2019-09-08 12:00:00,30.375
2019-09-08 13:00:00,30.61
2019-09-08 14:00:00,30.78
2019-09-08 15:00:00,30.885
2019-09-08 16:00:00,31
2019-09-08 17:00:00,31.02
2019-09-08 18:00:00,31.16
2019-09-08 19:00:00,31.21
2019-09-09 08:00:00,30.26
2019-09-09 09:00:00,30.285
2019-09-09 10:00:00,30.41
2019-09-09 11:00:00,30.455
2019-09-09 12:00:00,30.6
2019-09-09 13:00:00,30.945
2019-09-09 14:00:00,31.205
2019-09-09 15:00:00,31.245
2019-09-09 16:00:00,31.235
2019-09-09 17:00:00,31.37
2019-09-09 18:00:00,31.4
2019-09-10 08:00:00,30.425
2019-09-10 09:00:00,30.455
2019-09-10 10:00:00,30.54
2019-09-10 11:00:00,30.665
2019-09-10 12:00:00,30.87
2019-09-10 13:00:00,31.14
2019-09-10 14:00:00,31.35
2019-09-10 15:00:00,31.41
2019-09-10 16:00:00,31.425
2019-09-10 17:00:00,31.395
2019-09-10 18:00:00,31.31
2019-09-10 19:00:00,31.18
2019-09-11 08:00:00,30.36
2019-09-11 09:00:00,30.385
2019-09-11 10:00:00,30.45
2019-09-11 11:00:00,30.51
2019-09-11 12:00:00,30.6
2019-09-11 13:00:00,30.755
2019-09-11 14:00:00,30.855
2019-09-11 15:00:00,30.955
2019-09-11 16:00:00,31.02
2019-09-11 17:00:00,31.015
2019-09-11 18:00:00,30.95
2019-09-11 19:00:00,30.91
2019-09-12 08:00:00,30.235
2019-09-12 09:00:00,30.24
2019-09-12 15:00:00,30.69
2019-09-12 16:00:00,30.75
2019-09-12 17:00:00,30.73
2019-09-12 18:00:00,30.69
2019-09-12 19:00:00,30.65
2019-09-13 08:00:00,30.12
2019-09-13 09:00:00,30.115
2019-09-13 10:00:00,30.16
2019-09-13 11:00:00,30.26
2019-09-13 12:00:00,30.27
2019-09-13 13:00:00,30.31
2019-09-13 14:00:00,30.385
2019-09-13 15:00:00,30.395
2019-09-13 16:00:00,30.39
2019-09-13 18:00:00,30.36
2019-09-13 19:00:00,30.31
2019-09-14 08:00:00,29.86
2019-09-14 09:00:00,29.88
2019-09-14 10:00:00,29.885
2019-09-14 11:00:00,29.89
2019-09-14 12:00:00,29.98
2019-09-14 13:00:00,30.07
2019-09-14 14:00:00,30.14
2019-09-14 15:00:00,30.225
2019-09-14 16:00:00,30.275
2019-09-14 17:00:00,30.28
2019-09-14 18:00:00,30.25
2019-09-14 19:00:00,30.21
2019-09-15 08:00:00,29.715
2019-09-15 09:00:00,29.735
2019-09-15 10:00:00,29.83
2019-09-15 11:00:00,29.94
2019-09-15 12:00:00,30.035
2019-09-15 13:00:00,30.115
2019-09-15 14:00:00,30.19
2019-09-15 15:00:00,30.29
2019-09-15 16:00:00,30.34
2019-09-15 17:00:00,30.345
2019-09-15 18:00:00,30.325
2019-09-16 08:00:00,29.73
2019-09-16 09:00:00,29.76
2019-09-16 10:00:00,29.875
2019-09-16 11:00:00,30.055
2019-09-16 12:00:00,30.155
2019-09-16 13:00:00,30.26
2019-09-16 14:00:00,30.435
2019-09-16 15:00:00,30.575
2019-09-16 16:00:00,30.73
2019-09-16 17:00:00,30.8
2019-09-16 18:00:00,30.72
2019-09-16 19:00:00,30.71
2019-09-17 08:00:00,29.755
2019-09-17 09:00:00,29.79
2019-09-17 10:00:00,29.895
2019-09-17 11:00:00,30.08
2019-09-17 12:00:00,30.275
2019-09-17 13:00:00,30.455
2019-09-17 14:00:00,30.51
2019-09-17 15:00:00,30.7
2019-09-17 16:00:00,30.79
2019-09-17 17:00:00,30.81
2019-09-17 18:00:00,30.745
2019-09-17 19:00:00,30.65
2019-09-18 08:00:00,29.73
2019-09-18 09:00:00,29.775
2019-09-18 10:00:00,29.89
2019-09-18 11:00:00,29.985
2019-09-18 12:00:00,30.135
2019-09-18 13:00:00,30.265
2019-09-18 14:00:00,30.36
2019-09-18 15:00:00,30.435
2019-09-18 16:00:00,30.52
2019-09-18 17:00:00,30.51
2019-09-18 18:00:00,30.435
2019-09-19 08:00:00,29.57
2019-09-19 10:00:00,29.595
2019-09-19 11:00:00,29.65
2019-09-19 12:00:00,29.7
2019-09-19 13:00:00,29.73
2019-09-19 14:00:00,29.75
2019-09-19 15:00:00,29.77
2019-09-19 16:00:00,29.735
2019-09-19 17:00:00,29.71
2019-09-19 18:00:00,29.685
2019-09-20 08:00:00,29.145
2019-09-20 09:00:00,29.16
2019-09-20 10:00:00,29.23
2019-09-20 11:00:00,29.335
2019-09-20 12:00:00,29.365
2019-09-20 13:00:00,29.42
2019-09-20 14:00:00,29.455
2019-09-20 15:00:00,29.485
2019-09-20 17:00:00,29.465
2019-09-20 18:00:00,29.385
2019-09-20 19:00:00,29.35
2019-09-21 08:00:00,28.86
2019-09-21 09:00:00,28.85
2019-09-21 10:00:00,28.895
2019-09-21 11:00:00,28.94
2019-09-21 12:00:00,28.965
2019-09-21 13:00:00,29.03
2019-09-21 14:00:00,29.04
2019-09-21 15:00:00,29.095
2019-09-21 16:00:00,29.115
2019-09-21 17:00:00,29.1
2019-09-21 18:00:00,29.05
2019-09-21 19:00:00,29
2019-09-22 08:00:00,28.565
2019-09-22 09:00:00,28.575
2019-09-22 10:00:00,28.655
2019-09-22 11:00:00,28.695
2019-09-22 12:00:00,28.8
2019-09-22 13:00:00,28.93
2019-09-22 14:00:00,29.02
2019-09-22 15:00:00,29.1
2019-09-22 16:00:00,29.16
2019-09-22 17:00:00,29.165
2019-09-22 18:00:00,29.12
2019-09-23 08:00:00,28.44
2019-09-23 09:00:00,28.46
2019-09-23 10:00:00,28.515
2019-09-23 11:00:00,28.595
2019-09-23 12:00:00,28.71
2019-09-23 13:00:00,28.765
2019-09-23 14:00:00,28.84
2019-09-23 15:00:00,28.97
2019-09-23 16:00:00,29.06
2019-09-23 17:00:00,29.08
2019-09-23 18:00:00,29.025
2019-09-23 19:00:00,28.95
2019-09-24 08:00:00,28.285
2019-09-24 09:00:00,28.305
2019-09-24 10:00:00,28.38
2019-09-24 12:00:00,28.735
2019-09-24 13:00:00,28.885
2019-09-24 14:00:00,29.155
2019-09-24 15:00:00,29.445
2019-09-24 16:00:00,29.62
2019-09-24 17:00:00,29.7
2019-09-24 18:00:00,29.69
2019-09-24 19:00:00,29.63
2019-09-25 08:00:00,28.395
2019-09-25 09:00:00,28.41
2019-09-25 10:00:00,28.55
2019-09-25 11:00:00,28.715
2019-09-25 12:00:00,28.91
2019-09-25 13:00:00,29.08
2019-09-25 14:00:00,29.4
2019-09-25 15:00:00,29.685
2019-09-25 16:00:00,29.95
2019-09-25 17:00:00,30.11
2019-09-25 18:00:00,30.05
2019-09-25 19:00:00,29.97
2019-09-26 08:00:00,28.71
2019-09-26 09:00:00,28.7
2019-09-26 10:00:00,28.765
2019-09-26 11:00:00,28.96
2019-09-26 12:00:00,29.15
2019-09-26 13:00:00,29.265
2019-09-26 14:00:00,29.465
2019-09-26 15:00:00,29.67
2019-09-26 16:00:00,29.905
2019-09-26 17:00:00,29.975
2019-09-26 18:00:00,29.965
2019-09-26 19:00:00,29.96
2019-09-27 09:00:00,28.96
2019-09-27 10:00:00,29.075
2019-09-27 11:00:00,29.25
2019-09-27 12:00:00,29.3
2019-09-27 13:00:00,29.63
2019-09-27 14:00:00,29.965
2019-09-27 16:00:00,30.04
2019-09-27 17:00:00,29.9
2019-09-27 18:00:00,29.855
2019-09-27 19:00:00,29.75
2019-09-28 08:00:00,28.845
2019-09-28 09:00:00,28.885
2019-09-28 10:00:00,28.985
2019-09-28 11:00:00,29.085
2019-09-28 12:00:00,29.175
2019-09-28 13:00:00,29.265
2019-09-28 14:00:00,29.31
2019-09-28 15:00:00,29.36
2019-09-28 16:00:00,29.37
2019-09-28 17:00:00,29.275
2019-09-28 18:00:00,29.18
2019-09-28 19:00:00,29.13
2019-09-29 08:00:00,28.57
2019-09-29 09:00:00,28.595
2019-09-29 10:00:00,28.685
2019-09-29 11:00:00,28.805
2019-09-29 12:00:00,28.9
2019-09-29 13:00:00,29.05
2019-09-29 14:00:00,29.145
2019-09-29 15:00:00,29.275
2019-09-29 16:00:00,29.32
2019-09-29 17:00:00,29.3
2019-09-29 18:00:00,29.215
2019-09-30 08:00:00,28.57
2019-09-30 09:00:00,28.615
2019-09-30 10:00:00,28.705
2019-09-30 11:00:00,28.8
2019-09-30 12:00:00,28.89
2019-09-30 13:00:00,29.045
2019-09-30 14:00:00,29.165
2019-09-30 15:00:00,29.27
2019-09-30 16:00:00,29.31
2019-09-30 17:00:00,29.3
2019-09-30 18:00:00,29.255
2019-09-30 19:00:00,29.23
2019-10-01 08:00:00,28.6
2019-10-01 09:00:00,28.62
2019-10-01 10:00:00,28.695
2019-10-01 11:00:00,28.755
2019-10-01 12:00:00,28.83
2019-10-01 13:00:00,28.945
2019-10-01 14:00:00,29.015
2019-10-01 15:00:00,29.1
2019-10-01 16:00:00,29.09
2019-10-01 17:00:00,29.045
2019-10-01 18:00:00,29.035
2019-10-02 08:00:00,28.56
2019-10-02 09:00:00,28.585
2019-10-02 10:00:00,28.62
2019-10-02 11:00:00,28.705
2019-10-02 12:00:00,28.835
2019-10-02 13:00:00,28.885
2019-10-02 14:00:00,29.005
2019-10-02 15:00:00,29.115
2019-10-02 16:00:00,29.145
2019-10-02 17:00:00,29.15
2019-10-02 18:00:00,29.095
2019-10-02 19:00:00,29.08
2019-10-03 08:00:00,28.48
2019-10-03 09:00:00,28.505
2019-10-03 10:00:00,28.575
2019-10-03 11:00:00,28.68
2019-10-03 12:00:00,28.81
2019-10-03 13:00:00,28.98
2019-10-03 14:00:00,29.095
2019-10-03 15:00:00,29.245
2019-10-03 16:00:00,29.315
2019-10-03 17:00:00,29.33
2019-10-03 18:00:00,29.295
2019-10-03 19:00:00,29.24
2019-10-04 08:00:00,28.38
2019-10-04 09:00:00,28.4
2019-10-04 10:00:00,28.495
2019-10-04 11:00:00,28.61
2019-10-04 12:00:00,28.785
2019-10-04 13:00:00,28.9
2019-10-04 14:00:00,29.11
2019-10-04 15:00:00,29.29
2019-10-04 16:00:00,29.165
2019-10-04 17:00:00,29.745
2019-10-04 18:00:00,29.565
2019-10-04 19:00:00,29.34
2019-10-05 08:00:00,28.375
2019-10-05 09:00:00,28.395
2019-10-05 10:00:00,28.49
2019-10-05 11:00:00,28.57
2019-10-05 12:00:00,28.65
2019-10-05 13:00:00,28.74
2019-10-05 14:00:00,28.775
2019-10-05 15:00:00,28.83
